Município/Ano;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
310010 ABADIA DOS DOURADOS;6;6;5;5;5;6;6;6;8;8;8
310020 ABAETE;37;38;40;43;42;44;48;52;56;60;59
310030 ABRE CAMPO;12;13;14;13;14;13;15;18;20;20;23
310040 ACAIACA;6;5;6;6;6;6;6;6;6;6;7
310050 ACUCENA;9;9;11;10;10;10;10;10;14;14;15
310060 AGUA BOA;9;10;11;11;12;12;14;14;14;23;32
310070 AGUA COMPRIDA;3;3;3;5;5;5;4;4;4;4;5
310080 AGUANIL;4;5;5;5;6;6;6;7;8;9;9
310090 AGUAS FORMOSAS;33;34;33;34;34;29;38;40;43;44;45
310100 AGUAS VERMELHAS;18;18;19;19;19;19;21;19;19;19;20
310110 AIMORES;29;31;32;34;34;35;36;38;40;43;56
310120 AIURUOCA;9;9;9;11;11;11;11;11;13;14;15
310130 ALAGOA;4;4;5;5;5;5;6;6;6;7;9
310140 ALBERTINA;1;1;2;1;3;1;3;4;4;4;4
310150 ALEM PARAIBA;89;88;95;95;100;97;99;110;126;133;137
310160 ALFENAS;187;194;202;209;221;230;237;254;262;280;299
310163 ALFREDO VASCONCELOS;5;5;6;6;1;6;6;7;9;8;8
310170 ALMENARA;41;46;54;58;61;64;67;70;76;78;94
310180 ALPERCATA;7;8;7;7;7;7;7;7;7;7;7
310190 ALPINOPOLIS;38;38;38;37;39;41;42;44;45;45;50
310200 ALTEROSA;28;28;27;25;24;24;36;42;49;52;54
310205 ALTO CAPARAO;7;8;13;13;15;16;17;17;16;16;16
310210 ALTO RIO DOCE;16;16;18;18;17;14;35;35;34;33;34
310220 ALVARENGA;3;4;5;6;6;8;8;8;8;8;8
310230 ALVINOPOLIS;22;22;23;25;27;30;32;33;33;34;38
310240 ALVORADA DE MINAS;9;9;9;9;9;9;9;9;10;10;12
310250 AMPARO DO SERRA;5;5;5;5;5;5;4;4;4;4;5
310260 ANDRADAS;65;66;68;73;77;81;86;91;95;108;110
310270 CACHOEIRA DE PAJEU;12;12;12;12;12;13;12;13;13;14;16
310280 ANDRELANDIA;18;17;19;18;20;21;25;27;26;27;29
