Município/Ano;2015;2016;2017;2018;2019;2020;2021;2024;2025
Abadia dos Dourados (MG);7015;7037;7059;6972;6989;7006;7022;6365;6345
Abaeté (MG);23535;23574;23611;23223;23237;23250;23263;23161;23173
Abre Campo (MG);13719;13726;13733;13465;13454;13444;13434;14312;14354
Acaiaca (MG);4056;4061;4065;3994;3994;3994;3995;3997;3998
Açucena (MG);10140;10066;9997;9575;9470;9368;9270;8995;8926
Água Boa (MG);14686;14524;14370;13600;13735;13523;13319;12545;12391
Água Comprida (MG);2064;2061;2058;2005;1999;1992;1986;2165;2171
Aguanil (MG);4370;4406;4440;4448;4486;4522;4557;4490;4509
Águas Formosas (MG);19307;19363;19416;19166;19207;19247;19285;18841;18850
Águas Vermelhas (MG);13447;13513;13576;13477;13539;13599;13656;14486;14567
Aimorés (MG);25694;25703;25711;25193;25167;25141;25116;26165;26212
Aiuruoca (MG);6240;6224;6209;6032;6003;5976;5949;6382;6389
Alagoa (MG);2760;2756;2752;2683;2674;2665;2657;2816;2820
Albertina (MG);3033;3040;3046;3003;3007;3011;3015;3023;3027
Além Paraíba (MG);35720;35795;35866;35321;35362;35401;35438;31333;31159
Alfenas (MG);78712;79222;79707;79481;79996;80494;80973;81950;82303
Alfredo Vasconcelos (MG);6639;6709;6775;6831;6907;6981;7052;7184;7236
Almenara (MG);41296;41552;41794;41642;41896;42143;42380;41894;42019
Alpercata (MG);7478;7497;7515;7411;7424;7436;7448;7029;7019
Alpinópolis (MG);19630;19741;19846;19745;19853;19958;20059;18672;18673
Alterosa (MG);14434;14494;14551;14414;14466;14517;14566;14253;14272
Alto Caparaó (MG);5702;5748;5791;5799;5847;5894;5938;5982;6014
Alto Rio Doce (MG);11896;11792;11693;11146;11000;10859;10723;10994;10931
Alvarenga (MG);4292;4245;4199;3973;3907;3844;3783;4012;3983
Alvinópolis (MG);15619;15609;15599;15239;15203;15169;15135;15360;15358
Alvorada de Minas (MG);3666;3669;3673;3606;3606;3605;3605;4322;4359
